pEtaBin,jEtaBin,pPtBin,numL,errL,numC,errC,numB,errB
0,0,0,5985.698169738169,19.76830146866194,959.7414813239725,7.994279888799735,233.23472629988797,3.9060543443755664
0,0,1,4069.3526128752073,15.879465799564302,634.3133737477889,6.344435359467639,156.0471013526582,3.0601246599889627
0,0,2,5661.167457633653,17.98780408221175,841.4845544564487,7.005665262146112,205.2001079063741,3.289286326555854
0,0,3,3983.6673415128525,12.961538360984571,541.4293149625337,4.7866765988729965,148.49123338749254,2.3923931062896915
0,0,4,1222.2699332394102,3.331168597101676,156.45986025761312,1.1943758351973652,44.87825487439196,0.6224247236532733
0,0,5,441.45671118631043,1.6054972119785897,54.54308009962062,0.5623114640643367,16.674127486568544,0.2992312538644199
0,0,6,330.04104009051713,0.8948311906991295,39.835096501117285,0.31131846602204977,13.416478668223963,0.17970172624016933
0,0,7,23.55631903602145,0.2400138202699092,3.2643997317428255,0.08934315286313813,1.167187787874676,0.053112739545263514
0,1,0,1683.2274570677039,10.542622164900841,209.6163387873985,3.778364670151159,52.70694630476786,1.8578316571242273
0,1,1,1118.8479076659498,8.300343090232076,130.08246643537797,2.8433838383761434,36.39752743979164,1.5061724019235234
0,1,2,1529.5207185653244,9.375732179069688,170.36258170083335,3.1676281938598847,44.41614361970284,1.570846142155389
0,1,3,974.9522945815427,6.437155744256405,102.76504604952103,2.1268687954356924,29.396633705627018,1.0734299829937668
0,1,4,252.1496955697519,1.5424689056548906,26.480390502080855,0.5045987140619242,7.445058576173737,0.26130806565898607
0,1,5,75.78304632362644,0.6844098069079669,8.12998627773317,0.2278563386339448,2.4709814540259076,0.12369074637919973
0,1,6,39.899512524095954,0.3140377403511646,4.143821307585633,0.10032603709173162,1.4662757660468677,0.05946655672672938
0,1,7,1.054994340472183,0.05019791732936187,0.09742061555335509,0.014851869775852043,0.05638644920021714,0.011430659090730436
1,0,0,1637.4284950419167,10.135230534823945,159.61520607906974,3.141622252926295,53.234690214723635,1.7547919928510514
1,0,1,1092.4109511328156,8.014823906770486,111.50872351527183,2.5330185286230185,35.32859951428797,1.3700672933988354
1,0,2,1442.0981158254017,8.774742489826147,141.29351700139196,2.672751283181782,47.00193156750894,1.483075614319126
1,0,3,934.2475005066204,6.142138818140371,90.05285907773725,1.8176971553991728,30.561222610532,0.9887813158536968
1,0,4,227.21300457115916,1.4408011611822766,23.155046580532304,0.4437861213946846,8.065009987764993,0.23921066678252254
1,0,5,64.15688361390906,0.60892765417301,6.47433868719735,0.1871158048732933,2.328803119930995,0.10932321512215187
1,0,6,30.35965184942572,0.27685115669046906,3.4298114990970867,0.09010817360756948,1.1898993963718665,0.05319529063953789
1,0,7,0.6313788451821637,0.04004228196874335,0.06839925254025679,0.013210268614944572,0.025466309942959557,0.0073074818920503045
1,1,0,912.3619455290402,7.870460410811731,76.95455133983829,2.257576794842082,20.96097883587145,1.2092643032559345
1,1,1,589.7757813294124,6.1377408087653444,47.87080347187828,1.737984997244077,12.268304027173713,0.8525026108836407
1,1,2,729.852967199109,6.61340689763851,63.07472516013427,1.9255525997343146,16.10706737977606,0.9576059377907772
1,1,3,402.63902983436844,4.329103939620273,34.50407980480698,1.2797153148118265,8.338731572968708,0.5620372867397939
1,1,4,75.9178039821091,0.8780120075210168,6.330398277337767,0.25798655138010484,1.9798921678034838,0.15225120976848303
1,1,5,16.382707147471304,0.3253301373598966,1.3986112544296416,0.09078212684313337,0.35252543069664766,0.04778014254952779
1,1,6,4.800513853417508,0.11045703058635663,0.44973751632926456,0.03771516600831267,0.1060356076349777,0.015416154363568798
1,1,7,0.032735340075491406,0.009190551583404595,0.0,0.0,0.0,0.0
