pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err
0,0,210,230,3342.2482891083732,53.452854559724074,5.791431039660998e-05,9.262283776596857e-07,12813.514138081839,190.7404151744022,0.00022203192907077276,3.305140328917794e-06,61330.67109108502,214.00293742707072,0.0010627347866334178,3.7082321455070694e-06
0,0,230,250,2430.325756636425,45.00674768813565,4.211256258052169e-05,7.798746622286262e-07,9234.144985318593,161.06679757441907,0.000160008800264719,2.7909573743252164e-06,42596.18884624154,179.21471482916604,0.0007381046197534181,3.1054235725333084e-06
0,0,250,300,3315.572982002423,52.767007320540415,2.29808328062339e-05,3.657376204659196e-07,11645.730394712706,184.14681230253518,8.071865241999171e-05,1.2763546838802189e-06,54481.69689369331,200.92567937850617,0.0003776224423682325,1.3926520300837204e-06
0,0,300,400,2223.6153959679273,45.28919387396377,7.706139167723075e-06,1.5695377510859348e-07,7624.925290543905,155.25456206510216,2.6424864452265266e-05,5.380486499000808e-07,36128.96761584902,169.35342712244892,0.00012520818705372393,5.869095349415645e-07
0,0,400,500,484.0027609345381,20.853664269845638,1.6773551038039085e-06,7.227024930291614e-08,1568.0488646028411,70.41807334207101,5.4342143854242055e-06,2.440401672343685e-07,7809.9567054598265,75.07511411799533,2.706610746413159e-05,2.601795609416207e-07
0,0,500,600,128.3133876836534,11.185424922856882,4.446815867371783e-07,3.8764096193052507e-08,369.639480267386,37.72038544753181,1.281018867736959e-06,1.307233886965896e-07,1705.048941481329,38.40752485980158,5.909000474929053e-06,1.3310473213762714e-07
0,0,600,800,38.82383560455058,6.746061993267855,6.727374723524e-08,1.1689542321139613e-08,142.06093182871413,25.405313885916286,2.461624687780048e-07,4.402220023290894e-08,772.1163814364135,26.19855797458132,1.337919385658359e-06,4.5396729603480583e-08
0,1,210,230,869.809292641727,32.3015306425487,2.260801756892245e-05,8.395789496015724e-07,3248.5912084285874,131.07929291870505,8.443713781367022e-05,3.407003100906917e-06,23766.590566864168,141.51519808518606,0.000617739430510282,3.678252361345196e-06
0,1,230,250,566.9135439695106,31.218534690224146,1.4735174101436049e-05,8.114298004439874e-07,2218.944362278108,122.73759183462221,5.767463460235548e-05,3.1901862351191607e-06,16196.116015664196,126.34766047117591,0.00042096822663087365,3.2840188669968242e-06
0,1,250,300,699.1911827894244,30.381794561704282,7.26932980747079e-06,3.1587252563847897e-07,3029.9735080645232,119.05328412489598,3.150193721000314e-05,1.2377695947390679e-06,19479.830454572,123.95999351097998,0.00020252731392144115,1.288783522939017e-06
0,1,300,400,414.60305473076977,25.037951762737066,2.1552662692333473e-06,1.3015691097587548e-07,1893.7673309897493,106.16975012880266,9.844531543330561e-06,5.519112284740217e-07,12021.597635270718,109.3520683255847,6.249289191180544e-05,5.68454143412132e-07
0,1,400,500,90.56687903547424,11.775159972369188,4.708014986084664e-07,6.121181408022682e-08,282.45661231564276,50.41825149444401,1.4683181951979127e-06,2.6209347847246916e-07,2385.985580025524,50.72089116017651,1.2403271468526711e-05,2.636667159482733e-07
0,1,500,600,8.956455256408566,3.937834297399711,4.655910197904887e-08,2.047037844554001e-08,57.55187445667715,19.748578428160936,2.9917679653415955e-07,1.0266071237503049e-07,426.49103290715834,20.77199326584423,2.217064555764522e-06,1.0798081663843024e-07
0,1,600,800,2.8292901186678647,2.790830418515861,7.353869549513849e-09,7.253905386784429e-09,8.102840086615853,12.041384741136039,2.1060840874671547e-08,3.129787645231448e-08,147.05752542022626,12.172731708946827,3.822308115662044e-07,3.163927250096697e-08
1,0,210,230,383.40970221928495,18.873969599169868,1.0272845174384366e-05,5.056976033627275e-07,1296.2571855412405,66.19715671421534,3.473112259854181e-05,1.773646149206362e-06,6526.320413409472,70.8428495707767,0.00017486223947205963,1.89812000358969e-06
1,0,230,250,344.23122012556894,18.046914013420178,9.22312087584289e-06,4.835379815956261e-07,952.8415935369931,58.39715298569109,2.552985516396999e-05,1.5646576176200583e-06,5641.918682169867,63.70061255007113,0.0001511661201396757,1.7067552710652603e-06
1,0,250,300,456.62033395468626,21.06424031838074,4.893762434326042e-06,2.257529512208219e-07,1469.2804341337799,68.41160025743591,1.5746800699347955e-05,7.331914383059281e-07,7343.08989920666,73.45572528598768,7.869850470606216e-05,7.872511192776039e-07
1,0,300,400,219.3383457391892,13.763889377198907,1.175363509865268e-06,7.375624756018818e-08,753.7218039317142,48.496475771003304,4.038952249528513e-06,2.5987698496678317e-07,3477.910018729489,52.05891815843188,1.8636998983616857e-05,2.7896696567248123e-07
1,0,400,500,29.99917831506238,5.467743819387838,1.6075592892176107e-07,2.929987706865237e-08,137.60306274007525,21.509130370594136,7.373704686489232e-07,1.1526049802797516e-07,594.398955413434,22.671464182656905,3.1851924484089765e-06,1.2148907034795452e-07
1,0,500,600,5.718159454921797,2.640838365976386,3.064177375942215e-08,1.4151401754947593e-08,30.393668163898695,10.056184557482728,1.6286987289162125e-07,5.388785229277848e-08,134.88743825962587,10.52196166610976,7.228183122074208e-07,5.638380171450766e-08
1,0,600,800,7.822843712264488,2.5955876342640085,2.0960049214804977e-08,6.954458833201533e-09,4.7795447609049,7.375599284720979,1.2806020048166208e-08,1.976172983669156e-08,76.41140783151951,7.683140989335968,2.0473205494445065e-07,2.0585738279328493e-08
1,1,210,230,94.63051202037562,11.171543898984204,3.8032081340056175e-06,4.489852767241628e-07,292.45502154246464,43.27133467608728,1.175379159442357e-05,1.7390785328725651e-06,2134.934090847647,44.66213587719676,8.580317834621213e-05,1.7949749486047916e-06
1,1,230,250,92.98978862834657,10.636015788212575,3.7372673246726346e-06,4.27462357494509e-07,315.60665092932044,39.72444087659807,1.2684257501451683e-05,1.5965285766199042e-06,1684.4049476987686,40.39716125218797,6.769637468164505e-05,1.6235652643618446e-06
1,1,250,300,95.3290848955156,11.44622771513233,1.5325135343402653e-06,1.840099368393929e-07,341.30712211642015,46.836129641292445,5.486864628811147e-06,7.52939175384578e-07,2090.366373350722,47.040328272304805,3.360479923205949e-05,7.56221879357486e-07
1,1,300,400,50.22816936054699,7.4032213725179545,4.03734859274802e-07,5.950721631040533e-08,123.81764198901811,28.869777989479026,9.952482620925377e-07,2.3205575481379956e-07,935.9588194313285,30.136741345499388,7.5232525306194445e-06,2.4223962730529826e-07
1,1,400,500,0.23146467907367888,3.989876417266613,1.8605169334780083e-09,3.2070692887212264e-08,25.932795304631917,11.53479533869214,2.0844823922931427e-07,9.271687644838741e-08,132.83546806862847,12.020753957042054,1.0677336978463618e-06,9.662301989121391e-08
