pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err,fake_value,fake_error,fake_xs,fake_xs_err
0,1,300,400,817.0009271344059,40.87386506734305,4.2470853026603975e-06,2.124780839592347e-07,4865.037537272595,182.60886017661187,2.5290337789350395e-05,9.492711457646464e-07,23203.91579780308,174.8443393998241,0.00012062288606535015,9.089081780150741e-07,3087.342537715155,65.24498659464257,1.6049194903852516e-05,3.3916855469222114e-07
0,1,400,500,188.82033555650057,19.48277115395446,9.81560785736404e-07,1.0127894384805693e-07,1277.011508504268,89.94442908495648,6.638397373818917e-06,4.675657641696354e-07,5326.30570882442,88.07118698558452,2.7688187298351636e-05,4.578279306809121e-07,589.1414011727676,28.10752306981135,3.0625837780695507e-06,1.4611372418228028e-07
0,1,500,600,69.54815914931747,10.012180624674876,3.615381020266084e-07,5.204716881752378e-08,314.6234420320411,44.91827895661453,1.6355337578544534e-06,2.335025041483867e-07,1582.5876315415965,44.53569963036216,8.226899685006966e-06,2.3151370954649165e-07,118.23592943192175,13.407678118781199,6.146358730558651e-07,6.969827180099293e-08
0,1,600,800,44.99739341022844,9.986271045629437,1.1695688576566919e-07,2.5956240426210996e-08,123.76208008842839,40.99001454332497,3.2168146565871124e-07,1.0654093682206555e-07,914.688639956176,37.82313639862099,2.3774518181355846e-06,9.8309611019986e-08,44.55146260484948,9.12263818428356,1.1579782577771343e-07,2.3711492402985554e-08
1,0,210,230,1656.761118236553,45.40733547624154,4.439024458710726e-05,1.2166163882362433e-06,7542.434894936439,171.2416929469241,0.0002020873897167092,4.588145236964054e-06,43059.57766897108,193.13295795959857,0.0011537120007848072,5.1746864090964245e-06,4032.232807582993,97.09546621756408,0.00010803718085277442,2.6015165652152174e-06
1,0,230,250,1107.0354139737744,36.404458261631476,2.9661230126640945e-05,9.753987998070735e-07,5142.2295616444235,119.96836487598239,0.00013777775531539097,3.2143590291571653e-06,29536.511344765935,141.21499068647972,0.0007913832286452924,3.783628132588684e-06,3169.771882472013,78.22126042500736,8.492893006689809e-05,2.0958126334312726e-06
1,0,250,300,1551.1480585170934,42.57717409908673,1.662420513143865e-05,4.5631470977494337e-07,6099.553723992562,138.17400766307264,6.53710854751171e-05,1.480859956992031e-06,38772.85332538275,151.2531182427665,0.00041554245171705696,1.6210334343204715e-06,3837.1948225213387,78.22116885153605,4.112458092483639e-05,8.383240719470654e-07
1,0,300,400,801.1901057899806,32.04133861727212,4.2933195818408376e-06,1.716992078656393e-07,4173.123046693697,130.28251149964444,2.2362421558033927e-05,6.981419937048636e-07,23349.692409650655,151.50554989765806,0.00012512347684756842,8.118694170490515e-07,1942.9208728631872,61.84633390964018,1.0411486823350049e-05,3.314145725470662e-07
1,0,400,500,243.72413797477213,15.967340810636657,1.3060391117818683e-06,8.556383369791985e-08,1061.941835360445,61.46108067909995,5.690604069596605e-06,3.2935012463802105e-07,5348.151631560271,65.7156160074087,2.8659021074394906e-05,3.5214880837694597e-07,340.94776709379465,25.825688597077118,1.8270292085114807e-06,1.3839154249044075e-07
1,0,500,600,70.39814580536753,9.155185101918171,3.77240976551324e-07,4.9059686570500754e-08,304.50549166573745,34.095798251727444,1.631746798542319e-06,1.8270839496738412e-07,1514.1906169641754,35.54331736343215,8.11405954650676e-06,1.9046518340306127e-07,83.93969386766015,12.884029650655002,4.4980576865763064e-07,6.904136283314901e-08
1,0,600,800,30.684815072349828,6.839629133736816,8.221501767385647e-08,1.8325684179192083e-08,178.54440784036723,26.044661691483256,4.783809715506921e-07,6.978247436805986e-08,727.2277035791507,26.225442399015208,1.948489451922883e-06,7.026684714429421e-08,41.529421931662945,8.555590616234277,1.1127139433776106e-07,2.2923326474853537e-08
1,1,210,230,588.8964328235004,30.82225834438617,2.366779652337698e-05,1.2387491216210658e-06,3759.4022370461735,121.22076054397985,0.00015109068799981084,4.871872429602241e-06,24746.83563762422,133.88175295106703,0.0009945773786751507,5.380718765516066e-06,1748.8730581440186,64.31510487566254,7.028735339236527e-05,2.5848294041764947e-06
1,1,230,250,362.66825074933865,27.51784697525673,1.4575667105113892e-05,1.1059445543746396e-06,2211.931975483515,122.74835236367812,8.889772972183298e-05,4.933266471651448e-06,16802.247488449946,133.31566684691825,0.0006752837214268583,5.3579677179957625e-06,1303.275707002533,53.13007401908612,5.2378758857996094e-05,2.1353020855070593e-06
1,1,250,300,526.9309833943217,32.31737636045182,8.470959986662063e-06,5.195352155225646e-07,2603.118296028855,154.78002637093596,4.184781616780895e-05,2.488248843665978e-06,21157.92023027723,156.08424338756777,0.00034013542820567717,2.5092154797340345e-06,1396.2875029894828,50.760557060544215,2.2446764264095188e-05,8.160284008935737e-07
1,1,300,400,280.4917317883104,20.987972116393337,2.254597197210409e-06,1.6870166834173577e-07,1272.8549457258343,91.6795098175229,1.0231229187371264e-05,7.369214220981386e-07,11148.397502945578,100.07994630532357,8.961100422916688e-05,8.044442700622751e-07,685.6184093037399,35.411276762729415,5.511012157530173e-06,2.8463643056383003e-07
1,1,400,500,64.4835780575085,10.410856867777163,5.18320071068192e-07,8.368264035805476e-08,236.54638638901426,45.73263128026079,1.901363781251923e-06,3.6759964954457234e-07,1938.8055699360598,45.83952656964698,1.55841513617691e-05,3.6845887565547597e-07,79.20235329823448,12.615112501383791,6.366298308337873e-07,1.0140048373896213e-07
1,1,500,600,8.01729511500835,4.53466778356945,6.444315124821033e-08,3.644973493490372e-08,87.65569027400127,22.054050973541123,7.045778937985196e-07,1.7727082789594564e-07,370.5920063539555,21.690783188733292,2.978824700133395e-06,1.7435087541020646e-07,13.73307667778259,5.752473557896583,1.1038669835078056e-07,4.623847796857283e-08
1,1,600,800,1.5471351142489626e-12,0.9240149854634563,6.217948867961762e-21,3.7136238974391533e-09,45.183193214431135,11.267109899543652,1.815916286244668e-07,4.528260822202148e-08,81.02690907829141,11.765703078364929,3.2564782024379063e-07,4.728645834685701e-08,6.782526783139135,3.370930426744125,2.7259031447691538e-08,1.3547797369414884e-08
