pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err,fake_value,fake_error,fake_xs,fake_xs_err
0,0,210,230,6734.177573072947,76.94863919216596,0.00011668949057548318,1.3333621530436053e-06,37580.52431280945,314.0004212495005,0.000651193436768881,5.440983520036803e-06,155091.004029889,356.4832838901493,0.0026874091240854663,6.17712442899466e-06,15163.015671979147,175.073626276112,0.0002627439735813079,3.0336669981869425e-06
0,0,230,250,4456.605520215673,60.38463359693969,7.722383649775786e-05,1.0463418964758224e-06,25792.335099435342,246.10798687341412,0.0004469282864680798,4.2645468289473196e-06,103395.52473347509,292.1187455136096,0.0017916324566755355,5.06181894249896e-06,10439.194045756723,137.732144375158,0.00018088982982700062,2.3866156763181615e-06
0,0,250,300,6041.148247422395,73.60013318390929,4.187228529888701e-05,5.101357636816245e-07,34240.86674929654,301.66544769997927,0.0002373296073340793,2.0908974872946574e-06,139459.23711441827,336.02824348490685,0.000966617061005184,2.3290722067095964e-06,13226.750859967453,147.57070501303951,9.167698968853534e-05,1.0228391042547847e-06
0,0,300,400,4128.888016618288,57.63611150588872,1.4309032812823518e-05,1.9974312876055925e-07,21598.34972320501,196.4270604670437,7.48510237255848e-05,6.807356465558612e-07,92002.99434645537,220.98221640929114,0.0003188446525269744,7.658337481966498e-07,8582.737769976908,118.35074667430672,2.9744249754452242e-05,4.101551581851438e-07
0,0,400,500,1112.2102455877762,31.580521798401264,3.854464648791488e-06,1.0944513894312977e-07,6249.698371661474,138.49060074109502,2.165889186396435e-05,4.79951634022525e-07,24854.47507435112,155.2819229638044,8.613541901668711e-05,5.381434715556313e-07,1919.6135261976003,54.69418328615291,6.652593343231061e-06,1.895476118902205e-07
0,0,500,600,417.36566961175953,18.97259715703558,1.4464182698546754e-06,6.575124202250853e-08,1955.03173188786,77.03010804771054,6.7753383208990055e-06,2.669547682556901e-07,8947.229432023201,83.69014465730288,3.100742839510055e-05,2.900357241929053e-07,466.31582336335913,28.300687693330246,1.616059430720567e-06,9.807857883271116e-08
0,0,600,1500,332.0471949707482,17.348111993467626,1.278599357373146e-07,6.680160285178479e-09,1743.6283879587722,76.76577064579033,6.714112240996526e-07,2.9559853690258886e-08,6626.986242253208,79.44080627714538,2.5518241018154318e-06,3.058991775675466e-08,212.35678661120625,21.176507959650294,8.177128281985161e-08,8.154343683283176e-09
0,1,210,230,1783.4913981016457,42.68216705085945,4.635637398152322e-05,1.109391668643598e-06,8925.312017283846,192.75675855893405,0.00023198603717146328,5.01011913863734e-06,48161.49577617651,216.5995082610243,0.0012518099678452993,5.629838091649613e-06,6069.448264613593,105.20977301643097,0.0001577566417844307,2.7346044896275317e-06
0,1,230,250,1326.1563466673904,36.459750501447274,3.446935579813794e-05,9.476590867312907e-07,4981.919814783307,136.03722473281277,0.00012948968429333225,3.5358692908948828e-06,31055.83109919479,158.5821250630015,0.000807200820970399,4.121854640863379e-06,4134.853738315872,81.07890330233454,0.00010747280668484938,2.1073967429814145e-06
0,1,250,300,1527.1312790105148,43.055307834682594,1.5877232436118242e-05,4.476361263078886e-07,6944.983122384018,196.69016142238434,7.220539112423618e-05,2.044942339747146e-06,39989.26332881179,201.96877527365723,0.0004157591672354925,2.0998228730772444e-06,4931.870965663927,91.30235852974829,5.127552735186294e-05,9.492496082470951e-07
0,1,300,400,856.5912446337887,37.25820195393146,4.4528910122928745e-06,1.936824753395453e-07,4418.510678986772,204.13029950101782,2.2969119300993827e-05,1.0611478714953936e-06,23595.21761482058,217.3544274646556,0.00012265702353173998,1.1298919789370572e-06,3102.9286093989094,69.6402548957451,1.613021730392061e-05,3.6201685116641934e-07
0,1,400,500,201.54193911028008,15.328480555068808,1.0476925778618258e-06,7.968334222812762e-08,1068.5075113657088,71.43865023168559,5.554513338461585e-06,3.713656023684964e-07,5518.240082895056,75.17300316409774,2.868593605495325e-05,3.907782063539325e-07,592.9611562463326,28.394255496005314,3.082440335258049e-06,1.4760426970388186e-07
0,1,500,600,70.5236263901457,8.161188589781798,3.6660895622536587e-07,4.242499972854968e-08,267.1838859768936,37.338388566358105,1.3889246848473607e-06,1.9409931621670542e-07,1629.8993484233822,40.05203884157004,8.472844200782535e-06,2.0820591489687672e-07,117.43486610613374,13.338009393817508,6.104716375397715e-07,6.933610695145451e-08
0,1,600,1500,38.03035385357745,6.929061671894425,2.19662686815384e-08,4.002214414880205e-09,182.93696386807756,28.749180378775975,1.0566408389421456e-07,1.660547842929943e-08,863.3370374691185,29.477430808313898,4.98662026674414e-07,1.7026114657515092e-08,43.67086536425613,8.992123059008556,2.522421868173864e-08,5.193835216262606e-09
1,0,210,230,1578.2627477065018,38.42145732344841,4.228700723492502e-05,1.0294410396330059e-06,7698.810013953124,156.66794512749675,0.00020627720906005374,4.197665147146524e-06,43145.04006462906,187.44863787409122,0.0011560018279690037,5.022384211676645e-06,3868.8903182982754,95.13993848207792,0.00010366068204977662,2.549121350528203e-06
1,0,230,250,1141.450905451769,33.686172745657586,3.058333776634688e-05,9.02566719440468e-07,5014.7786692919135,129.91705868024656,0.0001343629140192632,3.480918249090808e-06,29718.620386741422,155.60369770668876,0.0007962625469886755,4.1691503523515154e-06,3081.150549271549,77.59435985866776,8.255446424131704e-05,2.07901584289503e-06
1,0,250,300,1426.0889738465605,39.726458425998544,1.5283902466133805e-05,4.257625765594132e-07,6160.792598576897,157.62366813566723,6.602740426268771e-05,1.6893088820690843e-06,38894.829206204515,173.443942714046,0.0004168497105907247,1.8588603883760204e-06,3779.2850275421147,79.04109864698057,4.050394106678536e-05,8.471115510261929e-07
1,0,300,400,778.246740249432,26.393869858479604,4.170373479740083e-06,1.4143624276567575e-07,4041.4154807850105,112.38632639807315,2.165664315699538e-05,6.022421050497669e-07,23547.970971220493,131.0688127724352,0.00012618598776088986,7.023555288288031e-07,1899.3601819062872,58.314420370641756,1.0178059118574073e-05,3.1248818610174284e-07
1,0,400,500,222.1064721954275,14.04924063265318,1.1901970074755028e-06,7.528535297960262e-08,1083.0731625543185,61.15237587490719,5.803840042153066e-06,3.2769587507693555e-07,5352.996067619984,66.97808850770843,2.8684980846049392e-05,3.589139916560481e-07,336.8055858391865,25.798766057643405,1.8048325940457937e-06,1.382472732777928e-07
1,0,500,600,50.29174927266542,7.220111905634866,2.6949727710936534e-07,3.869025291691513e-08,396.94918120006776,32.60835388547946,2.1271227394421605e-06,1.747376599590997e-07,1443.4130214731197,35.27488126603282,7.734785221372977e-06,1.8902672086450918e-07,82.32033892323015,12.753929665094375,4.411281673709585e-07,6.834419893712972e-08
