pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err
0,0,210,230,3319.2293348290978,48.36778185977414,5.7515439113623705e-05,8.381144934536764e-07,12321.264198903787,175.34320128047602,0.00021350224686159276,3.0383381803156856e-06,61846.506302461756,205.0790591894911,0.0010716731532540325,3.5535996318554243e-06
0,0,230,250,2397.2418611068506,42.47584284317668,4.153928650134089e-05,7.36019270260024e-07,8969.24110152582,160.72894051074763,0.00015541855907849793,2.7851030041041534e-06,42894.51505854942,178.51863703575873,0.0007432740013685862,3.0933619715089475e-06
0,0,250,300,3347.2612077064405,51.48276861311456,2.3200469599265803e-05,3.5683633095160365e-07,11448.844969472144,184.94575761701708,7.935400411817542e-05,1.2818923175842864e-06,54646.88379520226,203.19266417045947,0.00037876738249953504,1.4083649095048484e-06
0,0,300,400,2114.5459490063517,40.538548020402004,7.328149188540265e-06,1.4048998458506287e-07,8126.880063857008,154.3899393511656,2.8164433869740848e-05,5.350522221125905e-07,35736.57458960486,167.978444695058,0.00012384831372573538,5.821444096605192e-07
0,0,400,500,457.66549786326345,18.8098438729823,1.5860809496079085e-06,6.518720587705246e-08,1777.984340504485,73.21249891451748,6.1617646607432995e-06,2.537245004127431e-07,7626.351061284355,78.89968352313326,2.6429805589013595e-05,2.7343395023306537e-07
0,0,500,600,123.01957988131639,9.95796927441404,4.263354196230451e-07,3.451023823440544e-08,409.84600617556544,36.78906079707622,1.420358199826906e-06,1.2749579934828966e-07,1670.1358712516615,38.381830808070504,5.788006089636451e-06,1.330156870901871e-07
0,0,600,1500,38.41770227697821,5.875183940244813,1.4793333654700653e-08,2.262330934946708e-09,150.16859302627356,23.459028033624037,5.782475185731885e-08,9.033263530816065e-09,764.4136146768627,25.221393261743003,2.943493489168679e-07,9.711889666576134e-09
0,1,210,230,895.477957293114,30.301946786263784,2.327519556566106e-05,7.876059167357996e-07,2824.029599608451,129.95377327552092,7.340196448027928e-05,3.377748679181906e-06,24165.543695934924,145.5553292832774,0.0006281089901683706,3.7832631469046267e-06
0,1,230,250,595.5762599322077,25.73448701981357,1.5480173254169408e-05,6.688888467771254e-07,2006.0145066920154,103.0392504655847,5.214017784641766e-05,2.6781884310979214e-06,16380.4190288419,114.36662701809837,0.00042575861665679755,2.9726087486036716e-06
0,1,250,300,694.4928168624465,25.617932617586234,7.22048197826458e-06,2.6634374941607824e-07,2839.056699048962,108.88065753509318,2.9517019086483264e-05,1.1320071373314858e-06,19675.448206839446,123.66585403559657,0.00020456110667002115,1.2857254225101355e-06
