pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-99.67433337052749,6.381277694915298,19.04544107278239,0.9014137439584602,-5.233500919701508,-17273.960670445897,1105.9009496396006,3300.6511196774786,156.21860748297698
0,0,1,230.0,250.0,-70.49900821102484,5.568219208441352,13.313229418284894,0.7771715493452758,-5.295410001287803,-12217.760119003447,964.99466169972,2307.235911106445,134.68693818773366
0,0,2,250.0,300.0,-41.00224817934667,2.7759007039855916,7.907684451274178,0.40067133760706636,-5.1851143570530205,-17764.63404618374,1202.6867390087973,3426.08336535905,173.59486373163756
0,0,3,300.0,400.0,-15.597404291871563,1.2019535533192813,3.059090655487597,0.1747842801540386,-5.098706134743644,-13515.462766992545,1041.5167930222235,2650.763234793112,151.45407443907752
0,0,4,400.0,500.0,-5.098580340071619,0.36818794839689245,1.0575698471070951,0.05614862374956989,-4.821034141639355,-4418.021836278859,319.0422210448752,916.40542391524,48.65390545147729
0,0,5,500.0,600.0,-1.8572034297772633,0.1915263500979528,0.41297855250121573,0.030544952312388716,-4.497094143337615,-1609.303915970594,165.96141288687804,357.85417531335344,26.467812077731068
0,0,6,600.0,1000.0,-0.3573487222786929,0.030721661046250966,0.08202769749467669,0.004863530009001796,-4.356439753802472,-1238.5992593157318,106.48373491918953,284.3145617323489,16.857384093600945
0,0,7,1000.0,1500.0,-0.018154648720393542,0.0061964274218353765,0.005003367609689627,0.0010206616023423459,-3.62848587923759,-78.65683104597706,26.84664144784395,21.677590505741275,4.422118458308447
0,1,0,210.0,230.0,-72.2965261013663,17.54921835528565,14.379774662310341,2.588294322044353,-5.027653617608963,-8352.851439647455,2027.5664918962825,1661.3816453846873,299.0411727917163
0,1,1,230.0,250.0,-44.12945070784027,12.20198201763477,10.139721450289315,2.0921158021942086,-4.352136389957846,-5098.540216981032,1409.7681943894504,1171.502857480626,241.71469132231005
0,1,2,250.0,300.0,-24.905404051954743,6.12326144066233,5.462510760045044,0.9936167321804728,-4.559332721890945,-7193.676906366607,1768.6428345209072,1577.7916079314102,286.9962569230077
0,1,3,300.0,400.0,-7.498461824013676,2.0842992278506136,1.6719970923724499,0.32887150527646786,-4.48473377030451,-4331.711426496219,1204.0579779447423,965.8792803217167,189.98249116810993
0,1,4,400.0,500.0,-1.892732337681205,0.5247692931074294,0.436505666696929,0.08146440690899635,-4.336100266472259,-1093.3936168316784,303.14872524229975,252.16059353748187,47.06035858318901
0,1,5,500.0,600.0,-0.4916222190709662,0.19025386533479668,0.12377193878377865,0.0300717805883278,-3.9720006319832923,-284.0003235129157,109.90585292660533,71.50057359661324,17.3718662102652
0,1,6,600.0,1000.0,-0.06283621765321169,0.023347578403121745,0.020108558482473008,0.004508534683493066,-3.124849437018616,-145.1969048556293,53.949716367661466,46.46524825662002,10.417961263841095
0,1,7,1000.0,1500.0,-0.0010466691091231245,0.003135855652553457,0.00024279056185344202,0.00018310093904924614,-4.31099586875595,-3.023199054791232,9.057605466835403,0.7012762588574818,0.5288687523498424
1,0,0,210.0,230.0,-44.63293542107801,6.756375805348601,8.913150882779673,1.065360102647799,-5.007537290466993,-5002.4594019944225,757.2546002634712,998.9859509419456,119.4055603047653
1,0,1,230.0,250.0,-30.081616270698433,5.34801874574862,6.21721856143119,0.8650748293881908,-4.838436347937189,-3371.54755161988,599.4059410235053,696.8258563652078,96.95758687782842
1,0,2,250.0,300.0,-16.81849550829592,2.581730017878285,3.508864699434061,0.4248915499734695,-4.793144492293633,-4712.542441424517,723.4007510094954,983.1838887814238,119.05461230256614
1,0,3,300.0,400.0,-5.772748630972038,1.0012652344472295,1.1288019973611005,0.15255322478125677,-5.114048915990138,-3235.04833279673,561.1090373842273,632.5806393211607,85.49082716741628
1,0,4,400.0,500.0,-1.5589764165403945,0.2940352818578161,0.30436840576489,0.04282847852205464,-5.12200473837823,-873.6503838292371,164.7773719531201,170.56805459064435,24.001079363759416
1,0,5,500.0,600.0,-0.3998643968849874,0.11258347903590542,0.0909247663058938,0.018315979706704795,-4.397750064484553,-224.08400801434692,63.09178165172139,50.95423903782288,10.264275027637366
1,0,6,600.0,1000.0,-0.05028486743724188,0.014184947967824138,0.012689991336748965,0.002552826352168979,-3.9625612108671704,-112.71855884732139,31.796979364674584,28.44588458045648,5.722415551021983
1,0,7,1000.0,1500.0,-0.0007116189428326702,0.0014188162219499231,0.00015291260046943722,0.00021033516294999098,-4.653762611112628,-1.9939562778171416,3.975523053903684,0.42846110651536307,0.5893591265858746
1,1,0,210.0,230.0,-60.09943573826616,23.620354396033587,12.190645631497816,3.691328704786848,-4.92996331408265,-4490.6298383632475,1764.9128804716297,910.8850415855168,275.81608082167327
1,1,1,230.0,250.0,-37.62703616067387,18.261245430923616,8.59761550021467,3.2072759255237195,-4.376450209913943,-2811.492141925551,1364.4802585986126,642.4138301760402,239.64765715513232
1,1,2,250.0,300.0,-21.54140239585242,10.117529612899153,3.8126490662555033,1.3508002106008994,-5.649982996470421,-4023.9339675452316,1889.9545316895615,712.2028455765279,252.32947934024799
1,1,3,300.0,400.0,-5.621487588099622,3.2765615145382045,1.0838953147157264,0.4616650704028013,-5.186375023287163,-2100.1877629140185,1224.1233818314731,404.9432895777954,172.47807030248654
1,1,4,400.0,500.0,-0.8336574273002308,0.5005403528057258,0.2203814587299501,0.08851934283860514,-3.7827929450352435,-311.4544148393662,187.00187580821915,82.33451298150935,33.07082648450288
1,1,5,500.0,600.0,-0.2026977002583857,0.24125494405657802,0.049880590375389625,0.041329780937337975,-4.06365880461579,-75.7278608165329,90.13284709953754,18.635388564245563,15.440806158189465
1,1,6,600.0,1000.0,-0.006175242327643793,0.005754389773920632,0.0024104781676415284,0.0011320410392496733,-2.561832922007256,-9.228282134430884,8.599360078146992,3.6022185737234995,1.6917221290547115
1,1,7,1000.0,1500.0,-0.534796573875803,0.0,-0.534796573875803,0.0,-999.0,-999.0,0.0,-999.0,0.0
